tree_id,node_id,is_leave,split_feature,threshold,children,correctPredictions,correctPredictionsClassesCounts,wrongPredictions
0,0,False,"Al Aluminum",1.40,"1;52",182,"3;26;5;13;0;64;1;61;2;11;4;7","32;1;0;6;5;2;3;1;5;0;1;1;3;0;5;4;1;6;2;1;4;1;4;3;1;5;1;2;4;1;0;1;3;4;2;0;1"
0,1,False,"Na Sodium",12.91,"2;7",95,"5;10;0;23;3;2;1;58;4;2","18;2;0;1;5;1;3;1;3;1;5;1;0;3;0;5;3;4;1;1;3;4;5;1;3;0;1"
0,2,False,"Na Sodium",12.36,"3;6",24,"1;20;5;1;0;3","6;0;1;3;5;1;5;1;1;3;0;1"
0,3,False,"Mg Magnesium",1.76,"4;5",4,"5;1;0;3","2;0;5;1;3;0;1"
0,4,True,"","","",3,"0;3","1;3;0;1"
0,5,True,"","","",1,"5;1","1;0;5;1"
0,6,True,"","","",20,"1;20","4;0;1;3;5;1;1"
0,7,False,"K Potassium",0.01,"8;13",71,"5;9;0;20;3;2;1;38;4;2","12;2;0;1;5;1;2;1;3;1;5;1;0;3;0;5;2;4;1;4;5;1"
0,8,False,"Ca Calcium",9.73,"9;12",4,"4;2;1;1;5;1","2;0;4;1;4;5;1"
0,9,False,"Ca Calcium",9.59,"10;11",2,"1;1;5;1","1;4;5;1"
0,10,True,"","","",1,"5;1","1;4;5;1"
0,11,True,"","","",1,"1;1","0"
0,12,True,"","","",2,"4;2","1;0;4;1"
0,13,False,"Na Sodium",13.03,"14;15",67,"5;8;0;20;3;2;1;37","10;2;0;1;5;1;2;1;3;1;5;1;0;3;0;5;2"
0,14,True,"","","",5,"0;5","3;1;0;3"
0,15,False,"Fe Iron",0.20,"16;49",62,"5;8;0;15;3;2;1;37","7;2;0;1;5;1;2;1;3;1;5;1;0;5;2"
0,16,False,"Ca Calcium",8.70,"17;36",58,"0;13;3;2;1;37;5;6","7;2;0;1;5;1;2;1;3;1;5;1;0;5;2"
0,17,False,"Refractive Index",1.52,"18;29",25,"3;1;1;11;0;8;5;5","5;1;3;1;5;1;5;1;1;0;5;2"
0,18,False,"Mg Magnesium",3.43,"19;22",15,"1;10;5;5","4;5;1;1;0;5;2;1;5;1"
0,19,False,"Al Aluminum",1.31,"20;21",4,"1;1;5;3","0"
0,20,True,"","","",3,"5;3","0"
0,21,True,"","","",1,"1;1","0"
0,22,False,"Al Aluminum",1.12,"23;24",11,"1;9;5;2","4;5;1;1;0;5;2;1;5;1"
0,23,True,"","","",1,"5;1","1;1;5;1"
0,24,False,"Refractive Index",1.52,"25;28",10,"1;9;5;1","3;5;1;1;0;5;2"
0,25,False,"Mg Magnesium",3.49,"26;27",2,"5;1;1;1","2;0;5;2"
0,26,True,"","","",1,"1;1","0"
0,27,True,"","","",1,"5;1","2;0;5;2"
0,28,True,"","","",8,"1;8","1;5;1;1"
0,29,False,"Al Aluminum",1.28,"30;31",10,"3;1;1;1;0;8","1;1;3;1"
0,30,True,"","","",6,"0;6","0"
0,31,False,"Ca Calcium",8.45,"32;35",4,"3;1;1;1;0;2","1;1;3;1"
0,32,False,"Refractive Index",1.52,"33;34",3,"1;1;0;2","0"
0,33,True,"","","",2,"0;2","0"
0,34,True,"","","",1,"1;1","0"
0,35,True,"","","",1,"3;1","1;1;3;1"
0,36,False,"Ca Calcium",10.69,"37;48",33,"0;5;3;1;1;26;5;1","2;2;0;1;5;1;1"
0,37,False,"K Potassium",0.59,"38;45",28,"3;1;1;26;5;1","1;5;1;1"
0,38,False,"Mg Magnesium",3.75,"39;40",26,"1;25;5;1","1;5;1;1"
0,39,True,"","","",18,"1;18","1;5;1;1"
0,40,False,"Al Aluminum",0.65,"41;44",8,"1;7;5;1","0"
0,41,False,"Al Aluminum",0.52,"42;43",3,"5;1;1;2","0"
0,42,True,"","","",2,"1;2","0"
0,43,True,"","","",1,"5;1","0"
0,44,True,"","","",5,"1;5","0"
0,45,False,"Si Silicon",72.37,"46;47",2,"3;1;1;1","0"
0,46,True,"","","",1,"1;1","0"
0,47,True,"","","",1,"3;1","0"
0,48,True,"","","",5,"0;5","1;2;0;1"
0,49,False,"Ca Calcium",8.61,"50;51",4,"5;2;0;2","0"
0,50,True,"","","",2,"0;2","0"
0,51,True,"","","",2,"5;2","0"
