tree_id,node_id,is_leave,split_feature,threshold,children,correctPredictions,correctPredictionsClassesCounts,wrongPredictions
0,0,False,"flipper_length_mm",206.50,"1;8",283,"2;121;1;19;0;143","61;0;1;9;2;1;1;0;2;1;0;49"
0,1,False,"island",0.50,"2;3",157,"0;143;1;14","58;0;1;7;1;0;49;2;0;2"
0,2,True,"","","",44,"0;44","2;2;0;2"
0,3,False,"island",1.50,"4;7",113,"0;99;1;14","56;0;1;7;1;0;49"
0,4,False,"bill_depth_mm",19.35,"5;6",62,"1;14;0;48","56;0;1;7;1;0;49"
0,5,True,"","","",48,"0;48","49;1;0;49"
0,6,True,"","","",14,"1;14","7;0;1;7"
0,7,True,"","","",51,"0;51","0"
0,8,False,"body_mass_g",4075.00,"9;10",126,"2;121;1;5","3;0;1;2;2;1;1"
0,9,True,"","","",2,"1;2","2;0;1;1;2;1;1"
0,10,False,"bill_length_mm",51.65,"11;14",124,"2;121;1;3","1;0;1;1"
0,11,False,"island",0.50,"12;13",115,"1;2;2;113","1;0;1;1"
0,12,True,"","","",113,"2;113","0"
0,13,True,"","","",2,"1;2","1;0;1;1"
0,14,False,"bill_length_mm",52.05,"15;16",9,"2;8;1;1","0"
0,15,True,"","","",1,"1;1","0"
0,16,True,"","","",8,"2;8","0"
1,0,False,"bill_depth_mm",15.95,"1;4",288,"2;123;0;97;1;68","56;0;1;55;2;0;1"
1,1,False,"body_mass_g",3625.00,"2;3",103,"2;101;0;2","0"
1,2,True,"","","",2,"0;2","0"
1,3,True,"","","",101,"2;101","0"
1,4,False,"body_mass_g",5025.00,"5;10",185,"2;22;0;95;1;68","56;0;1;55;2;0;1"
1,5,False,"island",0.50,"6;7",163,"0;95;1;68","56;0;1;55;2;0;1"
1,6,True,"","","",44,"0;44","1;2;0;1"
1,7,False,"island",1.50,"8;9",119,"0;51;1;68","55;0;1;55"
1,8,True,"","","",68,"1;68","55;0;1;55"
1,9,True,"","","",51,"0;51","0"
1,10,True,"","","",22,"2;22","0"
2,0,False,"flipper_length_mm",207.00,"1;14",321,"1;52;0;148;2;121","23;0;1;4;1;0;16;2;0;2;1;1"
2,1,False,"body_mass_g",3312.50,"2;7",195,"0;147;1;48","22;1;0;16;2;0;2;1;1;0;1;3"
2,2,False,"flipper_length_mm",186.50,"3;4",32,"0;32","8;1;0;8"
2,3,True,"","","",16,"0;16","1;1;0;1"
2,4,False,"bill_depth_mm",16.85,"5;6",16,"0;16","7;1;0;7"
2,5,True,"","","",3,"0;3","4;1;0;4"
2,6,True,"","","",13,"0;13","3;1;0;3"
2,7,False,"bill_length_mm",43.30,"8;11",163,"0;115;1;48","14;1;0;8;2;0;2;1;1;0;1;3"
2,8,False,"sex",0.50,"9;10",113,"0;113","3;1;0;3"
2,9,True,"","","",43,"0;43","3;1;0;3"
2,10,True,"","","",70,"0;70","0"
2,11,False,"body_mass_g",4275.00,"12;13",50,"0;2;1;48","11;1;0;5;2;0;2;1;1;0;1;3"
2,12,True,"","","",48,"1;48","4;0;1;3;2;1;1"
2,13,True,"","","",2,"0;2","7;1;0;5;2;0;2"
2,14,False,"island",0.50,"15;16",126,"1;4;0;1;2;121","1;0;1;1"
2,15,True,"","","",121,"2;121","0"
2,16,False,"flipper_length_mm",209.00,"17;18",5,"1;4;0;1","1;0;1;1"
2,17,True,"","","",1,"0;1","0"
2,18,True,"","","",4,"1;4","1;0;1;1"
3,0,False,"bill_depth_mm",16.15,"1;4",333,"2;123;1;63;0;147","11;0;1;5;1;0;5;2;0;1"
3,1,False,"flipper_length_mm",198.00,"2;3",113,"2;108;0;5","0"
3,2,True,"","","",5,"0;5","0"
3,3,True,"","","",108,"2;108","0"
3,4,False,"body_mass_g",4975.00,"5;10",220,"2;15;1;63;0;142","11;0;1;5;1;0;5;2;0;1"
3,5,False,"island",0.50,"6;7",205,"1;63;0;142","11;0;1;5;1;0;5;2;0;1"
3,6,True,"","","",43,"0;43","1;2;0;1"
3,7,False,"bill_length_mm",43.35,"8;9",162,"1;63;0;99","10;0;1;5;1;0;5"
3,8,True,"","","",99,"0;99","5;1;0;5"
3,9,True,"","","",63,"1;63","5;0;1;5"
3,10,True,"","","",15,"2;15","0"
4,0,False,"island",0.50,"1;8",332,"0;142;1;66;2;124","12;1;0;2;0;1;7;2;3"
4,1,False,"flipper_length_mm",196.00,"2;3",165,"2;124;0;41","3;0;2;3"
4,2,True,"","","",38,"0;38","0"
4,3,False,"flipper_length_mm",203.00,"4;7",127,"2;124;0;3","3;0;2;3"
4,4,False,"bill_length_mm",41.52,"5;6",5,"2;2;0;3","3;0;2;3"
4,5,True,"","","",3,"0;3","0"
4,6,True,"","","",2,"2;2","3;0;2;3"
4,7,True,"","","",122,"2;122","0"
4,8,False,"bill_length_mm",42.85,"9;14",167,"0;101;1;66","9;1;0;2;0;1;7"
4,9,False,"flipper_length_mm",187.50,"10;13",103,"0;100;1;3","1;1;0;1"
4,10,False,"bill_length_mm",42.35,"11;12",38,"1;3;0;35","1;1;0;1"
4,11,True,"","","",35,"0;35","1;1;0;1"
4,12,True,"","","",3,"1;3","0"
4,13,True,"","","",65,"0;65","0"
4,14,False,"bill_depth_mm",20.75,"15;16",64,"0;1;1;63","8;1;0;1;0;1;7"
4,15,True,"","","",63,"1;63","7;0;1;7"
4,16,True,"","","",1,"0;1","1;1;0;1"
5,0,False,"bill_length_mm",43.35,"1;8",339,"1;66;0;149;2;124","5;0;1;2;2;1;1;0;2"
5,1,False,"bill_depth_mm",15.25,"2;3",159,"0;146;1;3;2;10","2;1;0;2"
5,2,True,"","","",10,"2;10","0"
5,3,False,"bill_length_mm",42.40,"4;5",149,"0;146;1;3","2;1;0;2"
5,4,True,"","","",139,"0;139","1;1;0;1"
5,5,False,"body_mass_g",3425.00,"6;7",10,"0;7;1;3","1;1;0;1"
5,6,True,"","","",3,"1;3","0"
5,7,True,"","","",7,"0;7","1;1;0;1"
5,8,False,"island",0.50,"9;10",180,"1;63;0;3;2;114","3;0;1;2;2;1"
5,9,True,"","","",114,"2;114","1;0;2;1"
5,10,False,"bill_length_mm",44.75,"11;14",66,"1;63;0;3","2;0;1;2"
5,11,False,"bill_length_mm",43.80,"12;13",4,"0;3;1;1","0"
5,12,True,"","","",1,"1;1","0"
5,13,True,"","","",3,"0;3","0"
5,14,True,"","","",62,"1;62","2;0;1;2"
6,0,False,"bill_depth_mm",16.30,"1;2",328,"2;123;1;62;0;143","16;0;1;3;2;6;2;0;1;1;0;6"
6,1,True,"","","",114,"2;114","6;0;2;6"
6,2,False,"body_mass_g",4975.00,"3;10",214,"2;9;1;62;0;143","10;0;1;3;2;0;1;1;0;6"
6,3,False,"bill_length_mm",44.75,"4;7",205,"1;62;0;143","10;0;1;3;2;0;1;1;0;6"
6,4,False,"sex",0.50,"5;6",143,"0;143","7;2;0;1;1;0;6"
6,5,True,"","","",67,"0;67","6;1;0;6"
6,6,True,"","","",76,"0;76","1;2;0;1"
6,7,False,"bill_length_mm",45.80,"8;9",62,"1;62","3;0;1;3"
6,8,True,"","","",7,"1;7","2;0;1;2"
6,9,True,"","","",55,"1;55","1;0;1;1"
6,10,True,"","","",9,"2;9","0"
7,0,False,"island",0.50,"1;10",323,"0;139;1;60;2;124","21;1;0;8;0;1;13"
7,1,False,"bill_depth_mm",17.15,"2;5",168,"0;44;2;124","0"
7,2,False,"bill_length_mm",39.65,"3;4",129,"2;121;0;8","0"
7,3,True,"","","",8,"0;8","0"
7,4,True,"","","",121,"2;121","0"
7,5,False,"bill_length_mm",43.58,"6;7",39,"0;36;2;3","0"
7,6,True,"","","",35,"0;35","0"
7,7,False,"bill_depth_mm",18.80,"8;9",4,"0;1;2;3","0"
7,8,True,"","","",3,"2;3","0"
7,9,True,"","","",1,"0;1","0"
7,10,False,"island",1.50,"11;18",155,"0;95;1;60","21;1;0;8;0;1;13"
7,11,False,"flipper_length_mm",193.50,"12;15",103,"0;43;1;60","21;1;0;8;0;1;13"
7,12,False,"bill_length_mm",42.75,"13;14",63,"1;21;0;42","5;0;1;1;1;0;4"
7,13,True,"","","",42,"0;42","4;1;0;4"
7,14,True,"","","",21,"1;21","1;0;1;1"
7,15,False,"flipper_length_mm",207.50,"16;17",40,"0;1;1;39","16;1;0;4;0;1;12"
7,16,True,"","","",39,"1;39","12;0;1;12"
7,17,True,"","","",1,"0;1","4;1;0;4"
7,18,True,"","","",52,"0;52","0"
8,0,False,"bill_depth_mm",16.45,"1;4",326,"2;122;0;138;1;66","18;1;2;2;2;0;1;1;1;0;1;14"
8,1,False,"flipper_length_mm",197.50,"2;3",121,"2;115;0;6","1;1;2;1"
8,2,True,"","","",6,"0;6","0"
8,3,True,"","","",115,"2;115","1;1;2;1"
8,4,False,"bill_length_mm",42.40,"5;10",205,"2;7;0;132;1;66","17;1;2;1;2;0;1;1;1;0;1;14"
8,5,False,"sex",0.50,"6;9",130,"0;129;1;1","4;0;1;4"
8,6,False,"bill_depth_mm",16.70,"7;8",64,"0;63;1;1","4;0;1;4"
8,7,True,"","","",1,"1;1","4;0;1;4"
8,8,True,"","","",63,"0;63","0"
8,9,True,"","","",66,"0;66","0"
8,10,False,"body_mass_g",4575.00,"11;14",75,"2;7;0;3;1;65","13;1;2;1;2;0;1;1;1;0;1;10"
8,11,False,"bill_length_mm",44.75,"12;13",65,"1;65","11;0;1;10;2;1;1"
8,12,True,"","","",5,"1;5","9;0;1;8;2;1;1"
8,13,True,"","","",60,"1;60","2;0;1;2"
8,14,False,"bill_length_mm",48.85,"15;16",10,"2;7;0;3","2;1;2;1;2;0;1"
8,15,True,"","","",3,"0;3","1;2;0;1"
8,16,True,"","","",7,"2;7","1;1;2;1"
9,0,False,"flipper_length_mm",206.50,"1;14",299,"1;53;2;121;0;125","45;0;1;27;2;1;1;0;2;1;0;15"
9,1,False,"flipper_length_mm",192.50,"2;9",173,"0;125;1;48","42;1;0;15;2;0;2;0;1;25"
9,2,False,"bill_length_mm",42.40,"3;6",116,"0;99;1;17","3;1;0;3"
9,3,False,"sex",0.50,"4;5",97,"0;97","1;1;0;1"
9,4,True,"","","",59,"0;59","1;1;0;1"
9,5,True,"","","",38,"0;38","0"
9,6,False,"sex",0.50,"7;8",19,"0;2;1;17","2;1;0;2"
9,7,True,"","","",17,"1;17","0"
9,8,True,"","","",2,"0;2","2;1;0;2"
9,9,False,"bill_depth_mm",20.50,"10;13",57,"0;26;1;31","39;1;0;12;2;0;2;0;1;25"
